pair,coin,tier,rank,direction,start_time,peak_time,duration_h,magnitude,abs_magnitude,max_vol_z_48h,max_vol_z_24h,mean_vol_z_24h,n_spike_hours_24h,had_volume_spike,vol_ramp_24h,vol_ramp_12h,vol_ramp_6h,buy_ratio_24h,buy_ratio_delta,max_trades_z_24h,pre_ret_24h,rvol_pctl_pre,was_coiling,lead_time_h,silent_volume_spike,retrace_frac,hours_to_half_retrace,btc_ret_24h,start_hour_utc,start_dow
LUNCUSDT,LUNC,mid,128,dump,2026-05-17 07:00:00+00:00,2026-05-18 02:00:00+00:00,19,-0.10264069781335883,0.10264069781335883,1.4775146615942811,1.4775146615942811,0.4206680124871009,0,False,0.011046669507194413,-0.03529550143425292,0.024891997621694438,0.5195147344471951,0.013696716684390431,1.2953291808885397,0.10449946751863681,60.69444444444444,False,,False,0.71129220023283,21.0,-0.006906723629335754,7,6
LUNCUSDT,LUNC,mid,128,dump,2026-05-27 16:00:00+00:00,2026-05-28 13:00:00+00:00,21,-0.12570133793698746,0.12570133793698746,1.7450442815946992,1.7450442815946992,0.04981445076050931,0,False,0.010206630229236948,-0.07941926731731583,-0.1392514372354297,0.5220767777096068,0.020537282923651645,1.9042080190611055,0.14559721011333893,62.22222222222222,False,,False,0.1939914163090125,,-0.015579189760331347,16,2
LUNCUSDT,LUNC,mid,128,dump,2026-06-02 03:00:00+00:00,2026-06-03 03:00:00+00:00,24,-0.126015228426396,0.126015228426396,0.9084394420806456,0.08754468227050122,-0.9396404351577119,0,False,0.012479821351133815,0.03117440016966097,0.1443911733962422,0.40161702208361155,-0.08977552555889745,-0.27530296911488084,-0.07313045529606044,6.527777777777779,True,,False,0.33131923464249763,,-0.039890364548041624,3,1
LUNCUSDT,LUNC,mid,128,dump,2026-06-05 04:00:00+00:00,2026-06-06 04:00:00+00:00,24,-0.15454545454545454,0.15454545454545454,1.0413141801796895,-0.23861511503737423,-0.9775234087507387,0,False,0.0014070700513488452,0.03690127269605697,0.12489444653743456,0.4627453014964924,-0.02162279780532722,-0.6582705852553143,-0.04895311117664414,40.13888888888889,False,,False,1.8460784313725478,4.0,-0.025379139633354253,4,4
LUNCUSDT,LUNC,mid,128,dump,2026-06-24 00:00:00+00:00,2026-06-24 17:00:00+00:00,17,-0.09314559801949551,0.09314559801949551,1.4907411969159408,1.4907411969159408,-0.6807822155194572,0,False,-0.05484745358332388,-0.10737052280806209,-0.09457017302620797,0.4936219631742718,0.016819894469902785,2.0999461849332253,-0.013463892288861579,26.38888888888889,False,,False,1.229235880398672,14.0,-0.02007872226199281,0,2
SEIUSDT,SEI,mid,130,pump,2026-02-05 23:00:00+00:00,2026-02-06 17:00:00+00:00,18,0.10911602209944737,0.10911602209944737,4.316157029658947,4.316157029658947,1.4340633177939586,4,True,0.10031147532412817,0.2018102941519531,0.5334024136922959,0.4804884039458815,-0.005740237580399543,4.399826706687235,-0.13491124260355036,88.19444444444444,False,8.0,True,0.8607594936708872,16.0,-0.11903939408392605,23,3
SEIUSDT,SEI,mid,130,pump,2026-02-24 21:00:00+00:00,2026-02-25 21:00:00+00:00,24,0.11111111111111116,0.11111111111111116,2.855903596698646,1.7243775268283998,0.2973788242063254,0,True,-0.05607279854762117,-0.11342856669302465,-0.02728938764131725,0.5233099723348115,0.02781803481245776,1.5060789403477446,-0.010494752623688042,10.972222222222221,True,44.0,False,1.2739726027397242,19.0,-3.722480400369932e-06,21,1
SEIUSDT,SEI,mid,130,pump,2026-03-31 15:00:00+00:00,2026-04-01 07:00:00+00:00,16,0.15020576131687235,0.15020576131687235,1.795271448403613,1.6305250853599371,0.3294220665107802,0,False,0.02523129885164437,0.16763362370739118,0.14335566331016425,0.4843714562458512,-0.009396219842268294,0.8250617206583947,-0.07386363636363635,90.27777777777779,False,,False,0.6986301369863013,25.0,-0.017877554921464034,15,1
SEIUSDT,SEI,mid,130,pump,2026-04-07 11:00:00+00:00,2026-04-08 11:00:00+00:00,24,0.11281070745697908,0.11281070745697908,1.8806895709690263,1.2209040277355134,-0.3843801829015339,0,False,-0.017118364986403935,-0.08045206797994617,0.2063392536785073,0.48021260576178454,-0.013663960368431483,0.7555275654138675,-0.04578754578754585,23.75,True,,False,0.6271186440677967,12.0,-0.021971200592568296,11,1
SEIUSDT,SEI,mid,130,pump,2026-04-21 19:00:00+00:00,2026-04-22 16:00:00+00:00,21,0.12884753042233354,0.12884753042233354,1.0689599991233145,1.0689599991233145,-0.11004823988980107,0,False,0.03440499670595236,0.0972568183470973,0.12040361456562058,0.49697739975398,-0.0031631996575123833,1.729483974338178,-0.002131438721136858,2.5,True,,False,0.3805555555555556,,-0.010644343396661426,19,1
