pair,tier,time,vol_z,pnl,hours_held
CHZUSDT,small,2025-03-07 20:00:00+00:00,3.87,-0.04892446633825941,36
CHZUSDT,small,2025-04-20 16:00:00+00:00,3.12,-0.02516985138004235,36
CHZUSDT,small,2025-05-06 07:00:00+00:00,3.31,-0.021276703967446627,36
CHZUSDT,small,2025-05-12 18:00:00+00:00,3.05,0.07242514970059888,36
CHZUSDT,small,2025-06-26 02:00:00+00:00,4.68,-0.05500000000000004,11
CHZUSDT,small,2025-07-04 08:00:00+00:00,4.42,-0.02328410689170179,36
CHZUSDT,small,2025-07-14 11:00:00+00:00,3.56,-0.05500000000000004,15
CHZUSDT,small,2025-07-30 13:00:00+00:00,3.26,-0.05499999999999993,35
CHZUSDT,small,2025-08-13 14:00:00+00:00,4.42,-0.05500000000000004,22
CHZUSDT,small,2025-08-14 17:00:00+00:00,3.02,-0.010679012345679025,36
CHZUSDT,small,2025-08-24 19:00:00+00:00,3.03,-0.05500000000000004,15
CHZUSDT,small,2025-08-31 12:00:00+00:00,3.45,-0.05500000000000004,32
CHZUSDT,small,2025-09-18 13:00:00+00:00,3.47,-0.04183241252302016,36
CHZUSDT,small,2025-09-30 10:00:00+00:00,4.37,0.10999999999999999,23
CHZUSDT,small,2025-10-01 11:00:00+00:00,3.12,0.03146659116647788,36
CHZUSDT,small,2025-10-11 01:00:00+00:00,3.51,0.06402804957599473,36
CHZUSDT,small,2025-10-29 18:00:00+00:00,4.19,-0.05500000000000004,18
CHZUSDT,small,2025-11-28 08:00:00+00:00,4.66,0.012201455507773743,36
CHZUSDT,small,2025-12-06 10:00:00+00:00,4.04,0.008201320132013138,36
CHZUSDT,small,2025-12-08 13:00:00+00:00,3.05,0.027880177047107216,36
CHZUSDT,small,2025-12-19 18:00:00+00:00,3.23,0.07623112659698028,36
CHZUSDT,small,2026-01-10 23:00:00+00:00,3.17,-0.05500000000000004,10
CHZUSDT,small,2026-03-03 09:00:00+00:00,3.24,0.02634535367545066,36
CHZUSDT,small,2026-03-28 21:00:00+00:00,3.56,-0.05500000000000004,14
CHZUSDT,small,2026-04-15 18:00:00+00:00,3.65,-0.03953203143605621,36
CHZUSDT,small,2026-04-20 21:00:00+00:00,3.83,-0.006264222503160606,36
