pair,time,pnl,period,strategy
PEPEUSDT,2024-07-26 21:00:00+00:00,-0.21851125938281912,2024-H2,B_control
PEPEUSDT,2024-09-17 17:00:00+00:00,0.1452029769959403,2024-H2,B_control
PEPEUSDT,2024-10-10 02:00:00+00:00,0.12557671381936897,2024-H2,B_control
PEPEUSDT,2024-10-20 16:00:00+00:00,-0.13107449856733522,2024-H2,B_control
PEPEUSDT,2024-12-18 21:00:00+00:00,-0.08056675062972307,2024-H2,B_control
PEPEUSDT,2025-01-05 05:00:00+00:00,-0.1564000949216895,2025-H1,B_control
PEPEUSDT,2025-01-24 07:00:00+00:00,-0.17069579288025882,2025-H1,B_control
PEPEUSDT,2025-02-19 01:00:00+00:00,-0.10900866738894899,2025-H1,B_control
PEPEUSDT,2025-03-25 04:00:00+00:00,-0.082020202020202,2025-H1,B_control
PEPEUSDT,2025-04-02 13:00:00+00:00,-0.13390094979647216,2025-H1,B_control
PEPEUSDT,2025-04-10 06:00:00+00:00,0.07600147275405,2025-H1,B_control
PEPEUSDT,2025-04-19 13:00:00+00:00,0.25119834710743805,2025-H1,B_control
PEPEUSDT,2025-05-04 19:00:00+00:00,0.6678395061728396,2025-H1,B_control
PEPEUSDT,2025-05-21 05:00:00+00:00,-0.010730659025788066,2025-H1,B_control
PEPEUSDT,2025-07-02 14:00:00+00:00,0.05717616580310881,2025-H2,B_control
PEPEUSDT,2025-08-01 09:00:00+00:00,0.06096558317399626,2025-H2,B_control
PEPEUSDT,2025-08-21 23:00:00+00:00,-0.024212295869356356,2025-H2,B_control
PEPEUSDT,2025-09-06 23:00:00+00:00,0.23176012461059192,2025-H2,B_control
PEPEUSDT,2025-10-14 19:00:00+00:00,-0.031954177897574036,2025-H2,B_control
PEPEUSDT,2025-11-22 03:00:00+00:00,0.12182926829268304,2025-H2,B_control
PEPEUSDT,2025-12-03 11:00:00+00:00,-0.015504201680672344,2025-H2,B_control
PEPEUSDT,2025-12-20 15:00:00+00:00,-0.005,2025-H2,B_control
PEPEUSDT,2026-01-07 04:00:00+00:00,0.01299100449775115,2026-H1,B_control
PEPEUSDT,2026-01-19 04:00:00+00:00,-0.07396551724137934,2026-H1,B_control
PEPEUSDT,2026-02-04 12:00:00+00:00,-0.15297136038186154,2026-H1,B_control
PEPEUSDT,2026-03-01 12:00:00+00:00,-0.08738636363636365,2026-H1,B_control
PEPEUSDT,2026-03-21 21:00:00+00:00,-0.03998542274052485,2026-H1,B_control
PEPEUSDT,2026-04-08 00:00:00+00:00,-0.02139344262295095,2026-H1,B_control
PEPEUSDT,2026-05-26 05:00:00+00:00,-0.06924581005586594,2026-H1,B_control
PEPEUSDT,2026-07-02 01:00:00+00:00,0.10229613733905574,2026-H2,B_control
PUMPUSDT,2025-11-03 15:00:00+00:00,0.15667979002624677,2025-H2,B_control
PUMPUSDT,2025-11-27 07:00:00+00:00,0.10184192787327262,2025-H2,B_control
PUMPUSDT,2025-12-12 05:00:00+00:00,-0.3315734265734266,2025-H2,B_control
PUMPUSDT,2025-12-24 19:00:00+00:00,0.09256097560975618,2025-H2,B_control
PUMPUSDT,2026-01-08 18:00:00+00:00,0.23889140271493214,2026-H1,B_control
PUMPUSDT,2026-02-04 08:00:00+00:00,-0.21313904196693512,2026-H1,B_control
PUMPUSDT,2026-02-21 19:00:00+00:00,-0.13361888941623157,2026-H1,B_control
PUMPUSDT,2026-03-01 04:00:00+00:00,-0.041730470770822585,2026-H1,B_control
PUMPUSDT,2026-03-21 07:00:00+00:00,-0.08335820895522383,2026-H1,B_control
PUMPUSDT,2026-04-09 02:00:00+00:00,0.10210194730813293,2026-H1,B_control
PUMPUSDT,2026-04-19 08:00:00+00:00,-0.04933497536945818,2026-H1,B_control
PUMPUSDT,2026-05-29 18:00:00+00:00,-0.22239130434782606,2026-H1,B_control
PUMPUSDT,2026-06-14 05:00:00+00:00,-0.04597818902842032,2026-H1,B_control
SOLUSDT,2023-08-13 20:00:00+00:00,-0.11253564154786155,2023-H2,B_control
SOLUSDT,2023-08-23 05:00:00+00:00,0.05085235551238466,2023-H2,B_control
SOLUSDT,2023-09-03 11:00:00+00:00,-0.061127703398558324,2023-H2,B_control
SOLUSDT,2023-09-14 09:00:00+00:00,0.047518756698821,2023-H2,B_control
SOLUSDT,2023-10-04 17:00:00+00:00,-0.0579973935708079,2023-H2,B_control
SOLUSDT,2023-10-16 08:00:00+00:00,0.327014072119613,2023-H2,B_control
SOLUSDT,2023-10-27 00:00:00+00:00,0.19986752926678986,2023-H2,B_control
SOLUSDT,2023-11-03 05:00:00+00:00,0.20961538461538465,2023-H2,B_control
SOLUSDT,2023-11-30 14:00:00+00:00,0.07233601744673701,2023-H2,B_control
SOLUSDT,2023-12-07 16:00:00+00:00,0.10867080933616247,2023-H2,B_control
SOLUSDT,2023-12-29 16:00:00+00:00,-0.0791811175337187,2023-H2,B_control
SOLUSDT,2024-01-09 21:00:00+00:00,0.01681591522958648,2024-H1,B_control
SOLUSDT,2024-01-29 11:00:00+00:00,-0.0004844006568144278,2024-H1,B_control
SOLUSDT,2024-02-07 07:00:00+00:00,0.1780072198388617,2024-H1,B_control
SOLUSDT,2024-02-16 07:00:00+00:00,-0.09021707929673484,2024-H1,B_control
SOLUSDT,2024-02-26 22:00:00+00:00,0.1875777331995988,2024-H1,B_control
SOLUSDT,2024-03-08 20:00:00+00:00,0.20218137756843457,2024-H1,B_control
SOLUSDT,2024-03-30 04:00:00+00:00,-0.11928715466828,2024-H1,B_control
SOLUSDT,2024-04-12 17:00:00+00:00,-0.10932601113626639,2024-H1,B_control
SOLUSDT,2024-04-20 11:00:00+00:00,-0.044985870717061276,2024-H1,B_control
SOLUSDT,2024-05-10 08:00:00+00:00,0.0878209788394132,2024-H1,B_control
SOLUSDT,2024-05-18 05:00:00+00:00,-0.023582841264327966,2024-H1,B_control
SOLUSDT,2024-06-15 10:00:00+00:00,-0.07311081024786503,2024-H1,B_control
SOLUSDT,2024-06-24 10:00:00+00:00,0.15274536854552634,2024-H1,B_control
SOLUSDT,2024-07-06 00:00:00+00:00,0.024318131339305608,2024-H2,B_control
SOLUSDT,2024-07-17 10:00:00+00:00,0.08663591635916357,2024-H2,B_control
SOLUSDT,2024-07-26 02:00:00+00:00,-0.07532629121348455,2024-H2,B_control
SOLUSDT,2024-08-08 14:00:00+00:00,-0.0964274971800978,2024-H2,B_control
SOLUSDT,2024-08-18 22:00:00+00:00,0.10586520506259067,2024-H2,B_control
SOLUSDT,2024-09-15 17:00:00+00:00,0.08242595786158813,2024-H2,B_control
SOLUSDT,2024-10-06 16:00:00+00:00,0.002453416149068248,2024-H2,B_control
SOLUSDT,2024-10-18 20:00:00+00:00,0.07631711735023938,2024-H2,B_control
SOLUSDT,2024-11-03 17:00:00+00:00,0.31618238837483703,2024-H2,B_control
SOLUSDT,2024-11-16 13:00:00+00:00,0.18735358913163214,2024-H2,B_control
SOLUSDT,2024-11-29 05:00:00+00:00,-0.012981045018082057,2024-H2,B_control
SOLUSDT,2024-12-17 09:00:00+00:00,-0.137260826461178,2024-H2,B_control
SOLUSDT,2025-01-11 05:00:00+00:00,0.20965012620160028,2025-H1,B_control
SOLUSDT,2025-01-21 01:00:00+00:00,-0.004829307843304704,2025-H1,B_control
SOLUSDT,2025-02-05 03:00:00+00:00,-0.06792795833735166,2025-H1,B_control
SOLUSDT,2025-02-14 16:00:00+00:00,-0.13856809840293627,2025-H1,B_control
SOLUSDT,2025-03-22 23:00:00+00:00,-0.035581277721578035,2025-H1,B_control
SOLUSDT,2025-04-02 10:00:00+00:00,-0.15500397677563027,2025-H1,B_control
SOLUSDT,2025-04-24 17:00:00+00:00,-0.000684790546371934,2025-H1,B_control
SOLUSDT,2025-05-22 03:00:00+00:00,-0.022645062775704102,2025-H1,B_control
SOLUSDT,2025-05-31 06:00:00+00:00,-0.024596467478888658,2025-H1,B_control
SOLUSDT,2025-06-29 20:00:00+00:00,-0.0010222752585521367,2025-H1,B_control
SOLUSDT,2025-07-07 00:00:00+00:00,0.06447660954145429,2025-H2,B_control
SOLUSDT,2025-07-15 00:00:00+00:00,0.2197211895910779,2025-H2,B_control
SOLUSDT,2025-07-28 19:00:00+00:00,-0.11085123610061531,2025-H2,B_control
SOLUSDT,2025-08-10 04:00:00+00:00,0.04023346303501952,2025-H2,B_control
SOLUSDT,2025-08-17 20:00:00+00:00,0.06051200879074859,2025-H2,B_control
SOLUSDT,2025-09-03 19:00:00+00:00,0.04657334347371423,2025-H2,B_control
SOLUSDT,2025-09-12 17:00:00+00:00,-0.019984391259105113,2025-H2,B_control
SOLUSDT,2025-10-02 20:00:00+00:00,-0.06384881571594381,2025-H2,B_control
SOLUSDT,2025-10-23 10:00:00+00:00,0.015929614873838042,2025-H2,B_control
SOLUSDT,2025-11-03 05:00:00+00:00,-0.05742916124653585,2025-H2,B_control
SOLUSDT,2025-11-15 21:00:00+00:00,-0.09378975392142752,2025-H2,B_control
SOLUSDT,2025-11-25 03:00:00+00:00,-0.08170537010159662,2025-H2,B_control
SOLUSDT,2025-12-07 11:00:00+00:00,-0.01232407127755963,2025-H2,B_control
SOLUSDT,2025-12-27 14:00:00+00:00,0.0652181140030813,2025-H2,B_control
SOLUSDT,2026-01-04 22:00:00+00:00,0.025336911150864675,2026-H1,B_control
SOLUSDT,2026-02-12 19:00:00+00:00,0.050784591600102964,2026-H1,B_control
SOLUSDT,2026-02-22 19:00:00+00:00,-0.005840336134453668,2026-H1,B_control
SOLUSDT,2026-03-13 03:00:00+00:00,-0.006337941799531728,2026-H1,B_control
SOLUSDT,2026-03-21 00:00:00+00:00,-0.08453788047100641,2026-H1,B_control
SOLUSDT,2026-04-08 19:00:00+00:00,0.02288796730376264,2026-H1,B_control
SOLUSDT,2026-04-28 11:00:00+00:00,0.013580676096859205,2026-H1,B_control
SOLUSDT,2026-05-20 13:00:00+00:00,-0.01751623568307947,2026-H1,B_control
SOLUSDT,2026-06-01 19:00:00+00:00,-0.1742118226600986,2026-H1,B_control
SOLUSDT,2026-06-23 20:00:00+00:00,0.0628162585132589,2026-H1,B_control
SOLUSDT,2026-07-08 07:00:00+00:00,-0.015986203372508886,2026-H2,B_control
SUIUSDT,2023-08-12 22:00:00+00:00,-0.11022854324235443,2023-H2,B_control
SUIUSDT,2023-08-29 17:00:00+00:00,-0.09532983508245874,2023-H2,B_control
SUIUSDT,2023-10-24 22:00:00+00:00,0.007791228871630977,2023-H2,B_control
SUIUSDT,2023-11-09 22:00:00+00:00,0.03295620437956182,2023-H2,B_control
SUIUSDT,2023-11-17 02:00:00+00:00,0.008078643951127232,2023-H2,B_control
SUIUSDT,2023-12-07 05:00:00+00:00,0.029521158129175776,2023-H2,B_control
SUIUSDT,2023-12-15 06:00:00+00:00,0.03415426781519194,2023-H2,B_control
SUIUSDT,2024-01-01 04:00:00+00:00,0.001811632171862758,2024-H1,B_control
SUIUSDT,2024-01-29 21:00:00+00:00,0.0037946197620278887,2024-H1,B_control
SUIUSDT,2024-02-08 18:00:00+00:00,0.22126916975145428,2024-H1,B_control
SUIUSDT,2024-02-27 04:00:00+00:00,-0.08062465968903143,2024-H1,B_control
SUIUSDT,2024-03-06 03:00:00+00:00,0.1437201184683733,2024-H1,B_control
