pair,time,absorb,pnl,hours_held,variant
BIOUSDT,2025-08-07 18:00:00+00:00,93.0,0.11299999999999999,30,A_ladder
BIOUSDT,2025-08-12 09:00:00+00:00,84.0,0.11299999999999999,133,A_ladder
BIOUSDT,2025-08-21 05:00:00+00:00,81.7,0.11299999999999999,18,A_ladder
BIOUSDT,2025-08-22 02:00:00+00:00,91.2,0.11299999999999999,12,A_ladder
BIOUSDT,2025-08-23 01:00:00+00:00,95.9,0.11299999999999999,31,A_ladder
BIOUSDT,2025-08-24 17:00:00+00:00,84.0,-0.13678856222311708,168,A_ladder
BIOUSDT,2025-09-07 02:00:00+00:00,80.8,0.047171597633136164,168,A_ladder
BIOUSDT,2025-10-01 16:00:00+00:00,81.5,-0.18155271565495212,168,A_ladder
BIOUSDT,2026-03-06 07:00:00+00:00,81.1,-0.002,168,A_ladder
BIOUSDT,2026-04-07 04:00:00+00:00,80.5,0.031707865168539406,168,A_ladder
BIOUSDT,2026-04-14 06:00:00+00:00,81.4,0.11299999999999999,23,A_ladder
BIOUSDT,2026-04-15 09:00:00+00:00,88.8,0.11299999999999999,1,A_ladder
BIOUSDT,2026-04-15 12:00:00+00:00,88.3,0.11299999999999999,8,A_ladder
BIOUSDT,2026-04-16 05:00:00+00:00,95.2,-0.04512020460358057,168,A_ladder
BIOUSDT,2026-04-23 20:00:00+00:00,84.6,0.11299999999999999,121,A_ladder
BIOUSDT,2026-05-01 11:00:00+00:00,82.8,0.11299999999999999,20,A_ladder
BNBUSDT,2023-08-23 16:00:00+00:00,81.8,0.020528735632183936,168,A_ladder
BNBUSDT,2023-10-26 00:00:00+00:00,81.0,0.02532974910394281,168,A_ladder
BNBUSDT,2023-11-11 14:00:00+00:00,82.4,-0.039198258804906905,168,A_ladder
BNBUSDT,2023-12-23 00:00:00+00:00,80.9,0.11299999999999999,107,A_ladder
BNBUSDT,2024-01-17 14:00:00+00:00,80.8,-0.0625963449823661,168,A_ladder
BNBUSDT,2024-02-17 01:00:00+00:00,80.2,0.0336149137451307,168,A_ladder
BNBUSDT,2024-02-25 01:00:00+00:00,80.8,0.07728008407777187,168,A_ladder
BNBUSDT,2024-03-06 10:00:00+00:00,81.9,0.11299999999999999,93,A_ladder
BNBUSDT,2024-03-15 02:00:00+00:00,80.6,0.024042130501798376,168,A_ladder
BNBUSDT,2024-11-11 01:00:00+00:00,80.4,-0.023426896928967822,168,A_ladder
BNBUSDT,2024-11-25 15:00:00+00:00,80.6,-0.00041203767941655305,168,A_ladder
BNBUSDT,2024-12-03 18:00:00+00:00,82.4,0.11299999999999999,15,A_ladder
BNBUSDT,2025-09-21 09:00:00+00:00,80.7,-0.08718175634824665,168,A_ladder
BNBUSDT,2025-10-12 15:00:00+00:00,89.1,-0.14279045373918242,168,A_ladder
BNBUSDT,2026-01-28 06:00:00+00:00,80.9,-0.15826625352736112,168,A_ladder
BNBUSDT,2026-05-04 02:00:00+00:00,81.2,0.046946795569498656,168,A_ladder
BNBUSDT,2026-05-26 07:00:00+00:00,80.4,0.056328189378620275,168,A_ladder
BNBUSDT,2026-06-15 15:00:00+00:00,81.9,-0.05417225428012784,168,A_ladder
BTCUSDT,2023-10-26 06:00:00+00:00,80.3,0.015797404374268353,168,A_ladder
BTCUSDT,2023-11-30 11:00:00+00:00,80.7,0.11300000000000021,126,A_ladder
BTCUSDT,2023-12-07 01:00:00+00:00,81.5,-0.026638616176208885,168,A_ladder
BTCUSDT,2023-12-14 07:00:00+00:00,80.3,0.018175771078939418,168,A_ladder
BTCUSDT,2024-03-21 00:00:00+00:00,80.2,0.027945607189310717,168,A_ladder
BTCUSDT,2024-05-03 13:00:00+00:00,83.5,0.01930104195270732,168,A_ladder
BTCUSDT,2024-11-09 03:00:00+00:00,80.5,0.11299999999999999,66,A_ladder
BTCUSDT,2024-11-22 13:00:00+00:00,84.4,-0.007525372751436719,168,A_ladder
BTCUSDT,2025-01-15 21:00:00+00:00,80.1,0.06015281122080429,168,A_ladder
BTCUSDT,2025-03-25 18:00:00+00:00,80.2,-0.032690715310514484,168,A_ladder
BTCUSDT,2025-04-25 21:00:00+00:00,80.8,0.020380502256188038,168,A_ladder
BTCUSDT,2025-07-26 13:00:00+00:00,83.8,-0.04151221601750821,168,A_ladder
BTCUSDT,2026-05-03 22:00:00+00:00,81.1,0.03421240383448354,168,A_ladder
CHIPUSDT,2026-05-13 09:00:00+00:00,85.8,-0.2104052062098165,168,A_ladder
CHZUSDT,2023-08-10 16:00:00+00:00,81.5,-0.10581077529566363,168,A_ladder
CHZUSDT,2023-08-20 22:00:00+00:00,83.8,-0.05085496183206106,168,A_ladder
CHZUSDT,2023-08-31 14:00:00+00:00,82.1,-0.0654920634920636,168,A_ladder
CHZUSDT,2023-09-21 03:00:00+00:00,80.4,-0.04052596314907875,168,A_ladder
CHZUSDT,2023-09-29 17:00:00+00:00,81.6,0.048169491525423824,168,A_ladder
CHZUSDT,2023-11-12 16:00:00+00:00,82.2,-0.07669938054172232,168,A_ladder
CHZUSDT,2023-12-27 08:00:00+00:00,81.8,-0.04320494889725657,168,A_ladder
CHZUSDT,2024-01-12 12:00:00+00:00,81.4,0.11299999999999999,89,A_ladder
CHZUSDT,2024-01-16 10:00:00+00:00,81.7,-0.01530758087880246,168,A_ladder
CHZUSDT,2024-01-25 01:00:00+00:00,85.0,0.021041683051514104,168,A_ladder
CHZUSDT,2024-02-03 01:00:00+00:00,80.2,0.009193303484523964,168,A_ladder
CHZUSDT,2024-02-10 11:00:00+00:00,80.5,0.11299999999999999,156,A_ladder
CHZUSDT,2024-02-18 10:00:00+00:00,80.3,0.11299999999999999,95,A_ladder
CHZUSDT,2024-05-27 07:00:00+00:00,82.0,0.11299999999999999,36,A_ladder
CHZUSDT,2024-05-30 09:00:00+00:00,82.2,-0.015155190133607442,168,A_ladder
CHZUSDT,2024-09-25 08:00:00+00:00,83.6,-0.07696251874062965,168,A_ladder
CHZUSDT,2024-10-05 00:00:00+00:00,83.2,0.11300000000000021,107,A_ladder
CHZUSDT,2024-10-11 00:00:00+00:00,81.7,0.11299999999999999,56,A_ladder
CHZUSDT,2024-10-13 09:00:00+00:00,80.4,-0.05490322580645157,168,A_ladder
CHZUSDT,2024-10-29 17:00:00+00:00,82.4,-0.10436220472440938,168,A_ladder
CHZUSDT,2024-11-06 18:00:00+00:00,80.4,0.11300000000000021,118,A_ladder
CHZUSDT,2024-11-16 03:00:00+00:00,81.4,0.11299999999999999,62,A_ladder
CHZUSDT,2024-11-23 00:00:00+00:00,83.3,0.11299999999999999,27,A_ladder
CHZUSDT,2024-11-24 12:00:00+00:00,81.4,0.11299999999999999,128,A_ladder
CHZUSDT,2024-12-04 21:00:00+00:00,81.7,-0.1125263157894737,168,A_ladder
CHZUSDT,2024-12-25 14:00:00+00:00,81.3,-0.11227837259100648,168,A_ladder
CHZUSDT,2025-01-16 03:00:00+00:00,80.0,-0.13293858632676714,168,A_ladder
CHZUSDT,2025-02-23 06:00:00+00:00,80.4,-0.053039697542533126,168,A_ladder
CHZUSDT,2025-07-10 14:00:00+00:00,82.6,0.09683905013192606,168,A_ladder
CHZUSDT,2025-09-13 11:00:00+00:00,80.2,-0.0452703256661352,168,A_ladder
CHZUSDT,2025-10-01 10:00:00+00:00,82.5,-0.05342727684639781,168,A_ladder
CHZUSDT,2025-10-14 18:00:00+00:00,81.2,-0.06940947075208914,168,A_ladder
CHZUSDT,2025-11-07 21:00:00+00:00,87.5,-0.11323690914237206,168,A_ladder
CHZUSDT,2025-12-07 18:00:00+00:00,80.5,0.05668412647716403,168,A_ladder
CHZUSDT,2025-12-31 06:00:00+00:00,85.6,0.05084796573875816,168,A_ladder
CHZUSDT,2026-01-11 01:00:00+00:00,80.3,0.11299999999999999,73,A_ladder
CHZUSDT,2026-01-15 02:00:00+00:00,80.3,0.11299999999999999,58,A_ladder
CHZUSDT,2026-04-15 12:00:00+00:00,84.1,0.11299999999999999,118,A_ladder
CHZUSDT,2026-05-27 15:00:00+00:00,81.2,-0.09905093833780154,168,A_ladder
CHZUSDT,2026-06-09 18:00:00+00:00,82.3,-0.14600840925017522,168,A_ladder
DASHUSDT,2023-08-07 04:00:00+00:00,80.1,-0.028331719128329214,168,A_ladder
DASHUSDT,2023-10-24 10:00:00+00:00,80.1,0.06832990422135521,168,A_ladder
DASHUSDT,2023-11-06 18:00:00+00:00,82.6,0.07618537859007835,168,A_ladder
DASHUSDT,2023-11-17 18:00:00+00:00,80.3,-0.011797517962116253,168,A_ladder
DASHUSDT,2023-11-24 22:00:00+00:00,81.7,0.01698101898101889,168,A_ladder
DASHUSDT,2023-12-09 10:00:00+00:00,80.4,-0.07200569151963576,168,A_ladder
DASHUSDT,2023-12-21 09:00:00+00:00,81.6,0.11299999999999999,124,A_ladder
DASHUSDT,2023-12-26 23:00:00+00:00,82.1,-0.09517113630080187,168,A_ladder
DASHUSDT,2024-02-27 01:00:00+00:00,80.2,0.11299999999999999,115,A_ladder
DASHUSDT,2024-03-04 10:00:00+00:00,80.1,0.07357517527914825,168,A_ladder
DASHUSDT,2024-03-12 17:00:00+00:00,80.8,-0.18621052631578938,168,A_ladder
DASHUSDT,2024-03-24 18:00:00+00:00,82.1,0.07980327868852455,168,A_ladder
DASHUSDT,2024-04-05 03:00:00+00:00,80.6,0.0374584348767939,168,A_ladder
DASHUSDT,2024-07-13 20:00:00+00:00,80.1,0.11299999999999999,27,A_ladder
DASHUSDT,2024-07-15 18:00:00+00:00,80.3,0.004649427410417408,168,A_ladder
DASHUSDT,2024-09-03 05:00:00+00:00,80.2,-0.013101973684210509,168,A_ladder
DASHUSDT,2024-10-04 16:00:00+00:00,82.0,0.0018216560509554131,168,A_ladder
DASHUSDT,2024-11-18 16:00:00+00:00,81.4,0.11299999999999999,117,A_ladder
DASHUSDT,2024-11-24 11:00:00+00:00,92.6,0.11299999999999999,77,A_ladder
DASHUSDT,2024-12-13 03:00:00+00:00,92.0,-0.23803750509580113,168,A_ladder
DASHUSDT,2024-12-26 05:00:00+00:00,84.1,-0.1034194139194139,168,A_ladder
DASHUSDT,2025-01-18 01:00:00+00:00,80.8,-0.19163540472368712,168,A_ladder
DASHUSDT,2025-02-08 18:00:00+00:00,80.9,0.07211764705882362,168,A_ladder
DASHUSDT,2025-02-27 03:00:00+00:00,81.6,-0.054591751797200216,168,A_ladder
DASHUSDT,2025-06-02 22:00:00+00:00,80.3,-0.005144654088050314,168,A_ladder
DASHUSDT,2025-07-12 07:00:00+00:00,80.1,0.07939981701738352,168,A_ladder
DASHUSDT,2025-07-20 15:00:00+00:00,80.4,-0.11258823529411766,168,A_ladder
DASHUSDT,2025-08-17 15:00:00+00:00,81.6,-0.02464957264957257,168,A_ladder
DASHUSDT,2025-10-01 20:00:00+00:00,84.3,0.11299999999999999,9,A_ladder
DASHUSDT,2025-10-02 07:00:00+00:00,80.9,0.11299999999999999,4,A_ladder
