pair,tier,time,vol_z,pnl,win,hours_held,rsi14,bbw_pctl,dist_30d_high,dist_30d_low,obv_chg_pctl,macd_rel,atr_pctl,vwap7_dist,ret_7d,ret_24h,spike_hours_24h,buy_ratio,hour_utc,dow,btc_ret_24h
BIOUSDT,tiny,2025-04-17 10:00:00+00:00,4.37,-0.1526591337099812,False,36,65.1532236484498,100.0,-0.49572649572649574,0.30466830466830475,99.58333333333333,0.026946930573986103,100.0,0.013184512068260101,-0.08919382504288154,0.26730310262529833,4.0,0.4625400086874903,10.0,3.0,0.010494017883490692
BIOUSDT,tiny,2025-12-07 00:00:00+00:00,4.59,-0.044801556420233424,False,36,68.3570670286476,59.86111111111111,-0.39600470035252644,0.06198347107438029,99.72222222222223,0.004909227367437055,50.55555555555556,-0.016935442915919863,-0.11379310344827587,0.05761316872428002,1.0,0.5437381649778511,0.0,6.0,-0.0010438817669845557
BIOUSDT,tiny,2025-12-14 09:00:00+00:00,5.09,-0.154046783625731,False,36,63.20350105006617,57.638888888888886,-0.2639885222381636,0.10322580645161294,90.13888888888889,0.00271258671929177,61.38888888888889,0.02762932206347002,0.044806517311609007,0.05991735537190079,4.0,0.5395085819815459,9.0,6.0,-0.003868195903544036
BIOUSDT,tiny,2025-12-26 06:00:00+00:00,5.68,0.041348214285714446,True,36,56.32571194395115,81.52777777777777,-0.2808988764044944,0.11166253101736956,1.9444444444444444,0.005297958646955261,100.0,0.022881069208515514,0.0616113744075828,0.009009009009008917,5.0,0.45526327212662215,6.0,4.0,0.014199683078909509
BIOUSDT,tiny,2026-04-15 18:00:00+00:00,4.12,0.11299999999999999,True,2,69.49657563861001,99.58333333333333,-0.022727272727272707,0.6125,99.58333333333333,0.007634299649979723,99.44444444444444,0.16665382261966788,0.40217391304347827,0.29648241206030135,16.0,0.5063592286502729,18.0,2.0,-0.00821349879396216
CHZUSDT,small,2023-07-13 18:00:00+00:00,5.9,-0.015398294762484775,False,36,82.05395825298854,100.0,-0.001216545012165282,0.1005361930294908,98.72340425531915,0.007643360289877073,96.7479674796748,0.06326520226385535,0.06623376623376642,0.06485084306095978,4.0,0.4683821228029527,18.0,3.0,0.02043257427839973
CHZUSDT,small,2023-08-01 02:00:00+00:00,4.9,0.001937007874015741,True,36,33.18048051710609,52.794117647058826,-0.10141509433962259,0.02144772117962468,7.4074074074074066,-0.0007013952478926344,69.09620991253644,-0.025128012856090565,-0.009102730819245619,-0.030534351145038108,1.0,0.5588191049407508,2.0,1.0,-0.008537623433934383
CHZUSDT,small,2023-08-18 09:00:00+00:00,4.27,0.007419152276294973,True,36,40.654750291395885,98.75,-0.21840490797546008,0.042553191489361764,0.1388888888888889,0.002216384330357219,98.61111111111111,-0.07413698784134837,-0.15179760319573887,-0.10155148095909727,9.0,0.452276682042364,9.0,4.0,-0.06872309703610802
CHZUSDT,small,2023-09-13 07:00:00+00:00,4.58,0.035769784172661856,True,36,46.53500868432588,53.888888888888886,-0.2703412073490814,0.014598540145985384,96.52777777777779,-0.0006213527162812801,83.88888888888889,-0.03223405258421741,-0.060810810810810856,-0.0089126559714795,1.0,0.5241139074264227,7.0,2.0,0.007488046179648711
CHZUSDT,small,2023-10-01 06:00:00+00:00,4.39,-0.045887147335423206,False,36,71.24331809531093,92.77777777777779,-0.0031250000000000444,0.16423357664233573,99.58333333333333,0.002285127215019534,98.75,0.0425161543351944,0.10380622837370246,0.04934210526315774,14.0,0.5674276497261015,6.0,6.0,0.005079655020066909
CHZUSDT,small,2023-10-16 13:00:00+00:00,4.02,-0.003768972227136012,False,36,52.90495438204097,79.44444444444444,-0.12896764252696458,0.04433770552373906,3.194444444444444,-0.0005523132326032731,72.91666666666666,0.017730194327080007,-0.00475352112676064,0.01966089466089449,3.0,0.4945088178746168,13.0,0.0,0.03911783752525322
CHZUSDT,small,2023-12-07 03:00:00+00:00,4.3,0.05275538626353993,True,36,60.844211762992536,72.5,-0.020634180461646,0.23398942420681546,96.66666666666667,0.0015613395287982796,92.08333333333333,0.06829224136452905,0.14517448200654326,0.047506234413965176,8.0,0.4560683056259525,3.0,3.0,0.0015281102589974616
CHZUSDT,small,2024-01-16 11:00:00+00:00,4.28,-0.055094832481544564,False,36,80.30274833517872,100.0,0.0,0.49808592088473014,100.0,0.012390339423472277,100.0,0.19728549269995077,0.40262843488649946,0.21420363134911513,15.0,0.499722424368591,11.0,1.0,0.007206346208151748
